"season","week","manager_1","owner_id_1","score_1","result_1","manager_2","owner_id_2","score_2","result_2"
"2026","1","Danthecan","517079980760150016","0.0","T","acricci","559193893851738112","0.0","T"
"2026","1","steeeeeeeeeve","1002342256092762112","0.0","T","Mummanator","560265743531290624","0.0","T"
"2026","1","PhillyBooBird","559133018459394048","0.0","T","RJRJRJ123","517080755628453888","0.0","T"
"2026","1","ComradeCMP","559210519766609920","0.0","T","jackpotFTW","559132295743279104","0.0","T"
"2026","1","etmoyer","559135658332524544","0.0","T","Pnewport","694581224353632256","0.0","T"
"2026","2","Danthecan","517079980760150016","0.0","T","steeeeeeeeeve","1002342256092762112","0.0","T"
"2026","2","PhillyBooBird","559133018459394048","0.0","T","ComradeCMP","559210519766609920","0.0","T"
"2026","2","etmoyer","559135658332524544","0.0","T","RJRJRJ123","517080755628453888","0.0","T"
"2026","2","jackpotFTW","559132295743279104","0.0","T","acricci","559193893851738112","0.0","T"
"2026","2","Pnewport","694581224353632256","0.0","T","Mummanator","560265743531290624","0.0","T"
"2026","3","Danthecan","517079980760150016","0.0","T","jackpotFTW","559132295743279104","0.0","T"
"2026","3","steeeeeeeeeve","1002342256092762112","0.0","T","Pnewport","694581224353632256","0.0","T"
"2026","3","PhillyBooBird","559133018459394048","0.0","T","acricci","559193893851738112","0.0","T"
"2026","3","ComradeCMP","559210519766609920","0.0","T","etmoyer","559135658332524544","0.0","T"
"2026","3","RJRJRJ123","517080755628453888","0.0","T","Mummanator","560265743531290624","0.0","T"
"2026","4","Danthecan","517079980760150016","0.0","T","jackpotFTW","559132295743279104","0.0","T"
"2026","4","steeeeeeeeeve","1002342256092762112","0.0","T","RJRJRJ123","517080755628453888","0.0","T"
"2026","4","PhillyBooBird","559133018459394048","0.0","T","Pnewport","694581224353632256","0.0","T"
"2026","4","ComradeCMP","559210519766609920","0.0","T","Mummanator","560265743531290624","0.0","T"
"2026","4","etmoyer","559135658332524544","0.0","T","acricci","559193893851738112","0.0","T"
"2026","5","Danthecan","517079980760150016","0.0","T","etmoyer","559135658332524544","0.0","T"
"2026","5","steeeeeeeeeve","1002342256092762112","0.0","T","RJRJRJ123","517080755628453888","0.0","T"
"2026","5","PhillyBooBird","559133018459394048","0.0","T","jackpotFTW","559132295743279104","0.0","T"
"2026","5","ComradeCMP","559210519766609920","0.0","T","Pnewport","694581224353632256","0.0","T"
"2026","5","acricci","559193893851738112","0.0","T","Mummanator","560265743531290624","0.0","T"
"2026","6","Danthecan","517079980760150016","0.0","T","Mummanator","560265743531290624","0.0","T"
"2026","6","steeeeeeeeeve","1002342256092762112","0.0","T","PhillyBooBird","559133018459394048","0.0","T"
"2026","6","ComradeCMP","559210519766609920","0.0","T","RJRJRJ123","517080755628453888","0.0","T"
"2026","6","etmoyer","559135658332524544","0.0","T","jackpotFTW","559132295743279104","0.0","T"
"2026","6","Pnewport","694581224353632256","0.0","T","acricci","559193893851738112","0.0","T"
"2026","7","Danthecan","517079980760150016","0.0","T","Pnewport","694581224353632256","0.0","T"
"2026","7","steeeeeeeeeve","1002342256092762112","0.0","T","ComradeCMP","559210519766609920","0.0","T"
"2026","7","PhillyBooBird","559133018459394048","0.0","T","etmoyer","559135658332524544","0.0","T"
"2026","7","RJRJRJ123","517080755628453888","0.0","T","acricci","559193893851738112","0.0","T"
"2026","7","jackpotFTW","559132295743279104","0.0","T","Mummanator","560265743531290624","0.0","T"
"2026","8","Danthecan","517079980760150016","0.0","T","RJRJRJ123","517080755628453888","0.0","T"
"2026","8","steeeeeeeeeve","1002342256092762112","0.0","T","etmoyer","559135658332524544","0.0","T"
"2026","8","PhillyBooBird","559133018459394048","0.0","T","Mummanator","560265743531290624","0.0","T"
"2026","8","ComradeCMP","559210519766609920","0.0","T","acricci","559193893851738112","0.0","T"
"2026","8","jackpotFTW","559132295743279104","0.0","T","Pnewport","694581224353632256","0.0","T"
"2026","9","Danthecan","517079980760150016","0.0","T","ComradeCMP","559210519766609920","0.0","T"
"2026","9","steeeeeeeeeve","1002342256092762112","0.0","T","acricci","559193893851738112","0.0","T"
"2026","9","PhillyBooBird","559133018459394048","0.0","T","Pnewport","694581224353632256","0.0","T"
"2026","9","etmoyer","559135658332524544","0.0","T","Mummanator","560265743531290624","0.0","T"
"2026","9","RJRJRJ123","517080755628453888","0.0","T","jackpotFTW","559132295743279104","0.0","T"
"2026","10","Danthecan","517079980760150016","0.0","T","acricci","559193893851738112","0.0","T"
"2026","10","steeeeeeeeeve","1002342256092762112","0.0","T","Mummanator","560265743531290624","0.0","T"
"2026","10","PhillyBooBird","559133018459394048","0.0","T","RJRJRJ123","517080755628453888","0.0","T"
"2026","10","ComradeCMP","559210519766609920","0.0","T","jackpotFTW","559132295743279104","0.0","T"
"2026","10","etmoyer","559135658332524544","0.0","T","Pnewport","694581224353632256","0.0","T"
"2026","11","Danthecan","517079980760150016","0.0","T","steeeeeeeeeve","1002342256092762112","0.0","T"
"2026","11","PhillyBooBird","559133018459394048","0.0","T","ComradeCMP","559210519766609920","0.0","T"
"2026","11","etmoyer","559135658332524544","0.0","T","RJRJRJ123","517080755628453888","0.0","T"
"2026","11","jackpotFTW","559132295743279104","0.0","T","acricci","559193893851738112","0.0","T"
"2026","11","Pnewport","694581224353632256","0.0","T","Mummanator","560265743531290624","0.0","T"
"2026","12","Danthecan","517079980760150016","0.0","T","jackpotFTW","559132295743279104","0.0","T"
"2026","12","steeeeeeeeeve","1002342256092762112","0.0","T","Pnewport","694581224353632256","0.0","T"
"2026","12","PhillyBooBird","559133018459394048","0.0","T","acricci","559193893851738112","0.0","T"
"2026","12","ComradeCMP","559210519766609920","0.0","T","etmoyer","559135658332524544","0.0","T"
"2026","12","RJRJRJ123","517080755628453888","0.0","T","Mummanator","560265743531290624","0.0","T"
"2026","13","Danthecan","517079980760150016","0.0","T","jackpotFTW","559132295743279104","0.0","T"
"2026","13","steeeeeeeeeve","1002342256092762112","0.0","T","RJRJRJ123","517080755628453888","0.0","T"
"2026","13","PhillyBooBird","559133018459394048","0.0","T","Pnewport","694581224353632256","0.0","T"
"2026","13","ComradeCMP","559210519766609920","0.0","T","Mummanator","560265743531290624","0.0","T"
"2026","13","etmoyer","559135658332524544","0.0","T","acricci","559193893851738112","0.0","T"
"2026","14","Danthecan","517079980760150016","0.0","T","etmoyer","559135658332524544","0.0","T"
"2026","14","steeeeeeeeeve","1002342256092762112","0.0","T","RJRJRJ123","517080755628453888","0.0","T"
"2026","14","PhillyBooBird","559133018459394048","0.0","T","jackpotFTW","559132295743279104","0.0","T"
"2026","14","ComradeCMP","559210519766609920","0.0","T","Pnewport","694581224353632256","0.0","T"
"2026","14","acricci","559193893851738112","0.0","T","Mummanator","560265743531290624","0.0","T"
"2025","1","Danthecan","517079980760150016","143.14","L","Mummanator","560265743531290624","170.76","W"
"2025","1","steeeeeeeeeve","1002342256092762112","138.44","W","ComradeCMP","559210519766609920","122.74","L"
"2025","1","PhillyBooBird","559133018459394048","165.56","W","etmoyer","559135658332524544","111.32","L"
"2025","1","RJRJRJ123","517080755628453888","143.34","L","Pnewport","694581224353632256","144.68","W"
"2025","1","jackpotFTW","559132295743279104","168.88","W","THESMASH","559193893851738112","126.3","L"
"2025","2","Danthecan","517079980760150016","160.22","W","Pnewport","694581224353632256","142.52","L"
"2025","2","steeeeeeeeeve","1002342256092762112","106.5","L","jackpotFTW","559132295743279104","150.6","W"
"2025","2","PhillyBooBird","559133018459394048","137.54","W","THESMASH","559193893851738112","126.48","L"
"2025","2","ComradeCMP","559210519766609920","113.08","L","etmoyer","559135658332524544","197.0","W"
"2025","2","RJRJRJ123","517080755628453888","125.38","L","Mummanator","560265743531290624","156.42","W"
"2025","3","Danthecan","517079980760150016","183.34","W","RJRJRJ123","517080755628453888","107.78","L"
"2025","3","steeeeeeeeeve","1002342256092762112","157.26","W","etmoyer","559135658332524544","131.04","L"
"2025","3","PhillyBooBird","559133018459394048","141.06","L","jackpotFTW","559132295743279104","165.48","W"
"2025","3","ComradeCMP","559210519766609920","105.18","L","THESMASH","559193893851738112","146.38","W"
"2025","3","Pnewport","694581224353632256","114.9","L","Mummanator","560265743531290624","155.06","W"
"2025","4","Danthecan","517079980760150016","130.82","L","PhillyBooBird","559133018459394048","182.76","W"
"2025","4","steeeeeeeeeve","1002342256092762112","159.62","L","THESMASH","559193893851738112","176.22","W"
"2025","4","ComradeCMP","559210519766609920","165.08","L","RJRJRJ123","517080755628453888","191.28","W"
"2025","4","etmoyer","559135658332524544","134.6","L","Mummanator","560265743531290624","150.78","W"
"2025","4","jackpotFTW","559132295743279104","130.18","L","Pnewport","694581224353632256","172.86","W"
"2025","5","Danthecan","517079980760150016","167.1","W","etmoyer","559135658332524544","162.94","L"
"2025","5","steeeeeeeeeve","1002342256092762112","155.2","W","RJRJRJ123","517080755628453888","134.3","L"
"2025","5","PhillyBooBird","559133018459394048","164.18","W","Mummanator","560265743531290624","157.7","L"
"2025","5","ComradeCMP","559210519766609920","130.48","L","jackpotFTW","559132295743279104","179.68","W"
"2025","5","Pnewport","694581224353632256","164.5","W","THESMASH","559193893851738112","144.44","L"
"2025","6","Danthecan","517079980760150016","149.72","W","steeeeeeeeeve","1002342256092762112","124.84","L"
"2025","6","PhillyBooBird","559133018459394048","148.46","W","Pnewport","694581224353632256","130.7","L"
"2025","6","ComradeCMP","559210519766609920","106.0","W","Mummanator","560265743531290624","105.34","L"
"2025","6","etmoyer","559135658332524544","173.26","W","jackpotFTW","559132295743279104","151.9","L"
"2025","6","RJRJRJ123","517080755628453888","131.66","L","THESMASH","559193893851738112","172.02","W"
"2025","7","Danthecan","517079980760150016","128.9","L","THESMASH","559193893851738112","167.22","W"
"2025","7","steeeeeeeeeve","1002342256092762112","158.5","L","Mummanator","560265743531290624","163.08","W"
"2025","7","PhillyBooBird","559133018459394048","137.66","L","ComradeCMP","559210519766609920","153.04","W"
"2025","7","etmoyer","559135658332524544","110.08","W","Pnewport","694581224353632256","105.22","L"
"2025","7","RJRJRJ123","517080755628453888","139.7","L","jackpotFTW","559132295743279104","189.48","W"
"2025","8","Danthecan","517079980760150016","171.88","L","jackpotFTW","559132295743279104","185.24","W"
"2025","8","steeeeeeeeeve","1002342256092762112","104.7","L","PhillyBooBird","559133018459394048","164.2","W"
"2025","8","ComradeCMP","559210519766609920","96.84","L","Pnewport","694581224353632256","145.56","W"
"2025","8","etmoyer","559135658332524544","130.86","L","RJRJRJ123","517080755628453888","139.4","W"
"2025","8","THESMASH","559193893851738112","129.64","L","Mummanator","560265743531290624","162.52","W"
"2025","9","Danthecan","517079980760150016","146.62","W","ComradeCMP","559210519766609920","127.22","L"
"2025","9","steeeeeeeeeve","1002342256092762112","115.16","L","Pnewport","694581224353632256","123.84","W"
"2025","9","PhillyBooBird","559133018459394048","154.3","L","RJRJRJ123","517080755628453888","178.62","W"
"2025","9","etmoyer","559135658332524544","158.36","L","THESMASH","559193893851738112","158.56","W"
"2025","9","jackpotFTW","559132295743279104","141.12","L","Mummanator","560265743531290624","180.8","W"
"2025","10","Danthecan","517079980760150016","139.1","W","Mummanator","560265743531290624","132.64","L"
"2025","10","steeeeeeeeeve","1002342256092762112","141.52","W","ComradeCMP","559210519766609920","97.22","L"
