"season","week","phase","manager_1","owner_id_1","score_1","result_1","manager_2","owner_id_2","score_2","result_2"
"2026","15","Postseason","Danthecan","517079980760150016","0.0","T","Mummanator","560265743531290624","0.0","T"
"2026","15","Postseason","steeeeeeeeeve","1002342256092762112","0.0","T","PhillyBooBird","559133018459394048","0.0","T"
"2026","15","Postseason","ComradeCMP","559210519766609920","0.0","T","RJRJRJ123","517080755628453888","0.0","T"
"2026","15","Postseason","etmoyer","559135658332524544","0.0","T","jackpotFTW","559132295743279104","0.0","T"
"2026","15","Postseason","Pnewport","694581224353632256","0.0","T","acricci","559193893851738112","0.0","T"
"2026","16","Postseason","Danthecan","517079980760150016","0.0","T","Pnewport","694581224353632256","0.0","T"
"2026","16","Postseason","steeeeeeeeeve","1002342256092762112","0.0","T","ComradeCMP","559210519766609920","0.0","T"
"2026","16","Postseason","PhillyBooBird","559133018459394048","0.0","T","etmoyer","559135658332524544","0.0","T"
"2026","16","Postseason","RJRJRJ123","517080755628453888","0.0","T","acricci","559193893851738112","0.0","T"
"2026","16","Postseason","jackpotFTW","559132295743279104","0.0","T","Mummanator","560265743531290624","0.0","T"
"2026","17","Postseason","Danthecan","517079980760150016","0.0","T","RJRJRJ123","517080755628453888","0.0","T"
"2026","17","Postseason","steeeeeeeeeve","1002342256092762112","0.0","T","etmoyer","559135658332524544","0.0","T"
"2026","17","Postseason","PhillyBooBird","559133018459394048","0.0","T","Mummanator","560265743531290624","0.0","T"
"2026","17","Postseason","ComradeCMP","559210519766609920","0.0","T","acricci","559193893851738112","0.0","T"
"2026","17","Postseason","jackpotFTW","559132295743279104","0.0","T","Pnewport","694581224353632256","0.0","T"
"2026","18","Postseason","Danthecan","517079980760150016","0.0","T","ComradeCMP","559210519766609920","0.0","T"
"2026","18","Postseason","steeeeeeeeeve","1002342256092762112","0.0","T","acricci","559193893851738112","0.0","T"
"2026","18","Postseason","PhillyBooBird","559133018459394048","0.0","T","Pnewport","694581224353632256","0.0","T"
"2026","18","Postseason","etmoyer","559135658332524544","0.0","T","Mummanator","560265743531290624","0.0","T"
"2026","18","Postseason","RJRJRJ123","517080755628453888","0.0","T","jackpotFTW","559132295743279104","0.0","T"
"2025","15","Postseason","steeeeeeeeeve","1002342256092762112","152.86","W","ComradeCMP","559210519766609920","95.4","L"
"2025","15","Postseason","PhillyBooBird","559133018459394048","164.78","W","THESMASH","559193893851738112","139.66","L"
"2025","15","Postseason","etmoyer","559135658332524544","162.62","W","RJRJRJ123","517080755628453888","144.74","L"
"2025","15","Postseason","Pnewport","694581224353632256","201.9","W","Mummanator","560265743531290624","135.82","L"
"2025","16","Postseason","Danthecan","517079980760150016","176.72","L","Pnewport","694581224353632256","193.8","W"
"2025","16","Postseason","steeeeeeeeeve","1002342256092762112","129.18","L","etmoyer","559135658332524544","148.02","W"
"2025","16","Postseason","PhillyBooBird","559133018459394048","120.8","L","jackpotFTW","559132295743279104","145.4","W"
"2025","16","Postseason","ComradeCMP","559210519766609920","169.16","W","RJRJRJ123","517080755628453888","165.88","L"
"2025","16","Postseason","THESMASH","559193893851738112","108.4","L","Mummanator","560265743531290624","190.92","W"
"2025","17","Postseason","Danthecan","517079980760150016","140.04","L","PhillyBooBird","559133018459394048","153.34","W"
"2025","17","Postseason","jackpotFTW","559132295743279104","141.36","W","Pnewport","694581224353632256","137.52","L"
"2024","15","Postseason","Danthecan","517079980760150016","94.04","L","LukeColbeck","626798676303499264","162.76","W"
"2024","15","Postseason","steeeeeeeeeve","1002342256092762112","147.04","W","ComradeCMP","559210519766609920","107.94","L"
"2024","15","Postseason","PhillyBooBird","559133018459394048","197.9","W","jackpotFTW","559132295743279104","165.58","L"
"2024","15","Postseason","etmoyer","559135658332524544","114.44","W","THESMASH","559193893851738112","113.96","L"
"2024","16","Postseason","Danthecan","517079980760150016","123.16","W","ComradeCMP","559210519766609920","122.92","L"
"2024","16","Postseason","steeeeeeeeeve","1002342256092762112","108.64","L","LukeColbeck","626798676303499264","165.38","W"
"2024","16","Postseason","PhillyBooBird","559133018459394048","145.04","L","Mummanator","560265743531290624","168.18","W"
"2024","16","Postseason","etmoyer","559135658332524544","140.18","W","Pnewport","694581224353632256","131.72","L"
"2024","16","Postseason","jackpotFTW","559132295743279104","159.36","W","THESMASH","559193893851738112","114.5","L"
"2024","17","Postseason","PhillyBooBird","559133018459394048","130.1","L","Pnewport","694581224353632256","166.38","W"
"2024","17","Postseason","etmoyer","559135658332524544","129.98","L","Mummanator","560265743531290624","184.52","W"
"2023","15","Postseason","Danthecan","517079980760150016","99.4","L","Pnewport","694581224353632256","141.48","W"
"2023","15","Postseason","ekortman","559134002064789504","75.56","L","LukeColbeck","626798676303499264","126.06","W"
"2023","15","Postseason","ComradeCMP","559210519766609920","85.42","L","jackpotFTW","559132295743279104","157.06","W"
"2023","15","Postseason","THESMASH","559193893851738112","107.1","W","Mummanator","560265743531290624","86.72","L"
"2023","16","Postseason","Danthecan","517079980760150016","137.48","W","ComradeCMP","559210519766609920","101.62","L"
"2023","16","Postseason","ekortman","559134002064789504","80.12","L","Mummanator","560265743531290624","124.76","W"
"2023","16","Postseason","PhillyBooBird","559133018459394048","172.84","W","jackpotFTW","559132295743279104","139.28","L"
"2023","16","Postseason","etmoyer","559135658332524544","173.48","L","Pnewport","694581224353632256","174.4","W"
"2023","16","Postseason","LukeColbeck","626798676303499264","108.14","W","THESMASH","559193893851738112","93.3","L"
"2023","17","Postseason","PhillyBooBird","559133018459394048","137.98","L","Pnewport","694581224353632256","153.3","W"
"2023","17","Postseason","etmoyer","559135658332524544","116.34","W","jackpotFTW","559132295743279104","113.48","L"
"2022","15","Postseason","Danthecan","517079980760150016","115.56","L","jackpotFTW","559132295743279104","174.16","W"
"2022","15","Postseason","PhillyBooBird","559133018459394048","149.25","W","Pnewport","694581224353632256","116.17","L"
"2022","15","Postseason","ComradeCMP","559210519766609920","130.37","W","LukeColbeck","626798676303499264","123.23","L"
"2022","15","Postseason","etmoyer","559135658332524544","160.34","L","Mummanator","560265743531290624","174.65","W"
"2022","16","Postseason","Danthecan","517079980760150016","109.2","L","Pnewport","694581224353632256","140.25","W"
"2022","16","Postseason","ekortman","559134002064789504","153.15","W","Mummanator","560265743531290624","150.7","L"
"2022","16","Postseason","PhillyBooBird","559133018459394048","70.45","L","jackpotFTW","559132295743279104","151.88","W"
"2022","16","Postseason","ComradeCMP","559210519766609920","97.45","L","THESMASH","559193893851738112","140.06","W"
"2022","16","Postseason","etmoyer","559135658332524544","119.76","L","LukeColbeck","626798676303499264","130.79","W"
"2022","17","Postseason","ekortman","559134002064789504","117.08","L","THESMASH","559193893851738112","132.82","W"
"2022","17","Postseason","ComradeCMP","559210519766609920","101.48","W","Mummanator","560265743531290624","84.5","L"
